年份,平均PPG,平均投篮命中率,平均三分命中率,平均两分命中率,平均真实命中率
1950.0,6.603,0.318,,0.318,0.384
1951.0,7.26,0.333,,0.333,0.4
1952.0,7.944,0.345,,0.345,0.412
1953.0,7.322,0.337,,0.337,0.41
1954.0,7.035,0.343,,0.343,0.411
1955.0,8.146,0.347,,0.347,0.413
1956.0,8.943,0.367,,0.367,0.433
1957.0,9.001,0.358,,0.358,0.423
1958.0,9.118,0.352,,0.352,0.412
1959.0,9.927,0.39,,0.39,0.447
1960.0,10.1,0.384,,0.384,0.431
1961.0,10.478,0.386,,0.386,0.435
1962.0,10.566,0.394,,0.394,0.441
1963.0,9.872,0.417,,0.417,0.461
1964.0,9.684,0.41,,0.41,0.457
1965.0,9.888,0.401,,0.401,0.453
1966.0,10.313,0.41,,0.41,0.458
1967.0,10.692,0.42,,0.42,0.469
1968.0,10.318,0.42,,0.42,0.468
1969.0,10.313,0.417,,0.417,0.463
1970.0,10.621,0.445,,0.445,0.493
1971.0,9.511,0.422,,0.422,0.472
1972.0,9.715,0.424,,0.424,0.472
1973.0,8.992,0.425,,0.425,0.465
1974.0,9.209,0.439,,0.439,0.48
1975.0,9.083,0.437,,0.437,0.48
1976.0,8.646,0.436,,0.436,0.479
1977.0,9.161,0.44,,0.44,0.487
1978.0,9.301,0.44,,0.44,0.484
1979.0,9.522,0.461,,0.461,0.504
1980.0,9.65,0.457,0.198,0.463,0.505
1981.0,8.966,0.452,0.153,0.458,0.498
1982.0,9.118,0.47,0.171,0.476,0.513
1983.0,8.849,0.461,0.138,0.466,0.503
1984.0,8.832,0.47,0.176,0.477,0.518
1985.0,8.788,0.457,0.163,0.466,0.507
1986.0,8.792,0.453,0.173,0.461,0.505
1987.0,8.791,0.456,0.169,0.468,0.509
1988.0,8.603,0.453,0.189,0.465,0.509
1989.0,8.548,0.446,0.199,0.459,0.503
1990.0,8.411,0.442,0.214,0.453,0.499
1991.0,8.891,0.459,0.208,0.471,0.516
1992.0,8.098,0.45,0.215,0.462,0.504
1993.0,8.293,0.453,0.216,0.469,0.509
1994.0,7.965,0.441,0.236,0.453,0.497
1995.0,8.389,0.438,0.271,0.464,0.512
1996.0,7.977,0.444,0.279,0.464,0.514
1997.0,7.475,0.429,0.284,0.447,0.502
1998.0,7.685,0.429,0.248,0.447,0.497
1999.0,7.167,0.411,0.254,0.427,0.479
2000.0,7.681,0.427,0.265,0.445,0.494
2001.0,7.418,0.422,0.26,0.435,0.486
2002.0,7.874,0.425,0.264,0.443,0.492
2003.0,7.752,0.413,0.265,0.429,0.48
2004.0,7.393,0.415,0.267,0.429,0.484
2005.0,7.777,0.427,0.269,0.443,0.498
2006.0,7.648,0.434,0.272,0.454,0.505
2007.0,8.085,0.433,0.274,0.453,0.508
2008.0,7.551,0.433,0.269,0.455,0.503
2009.0,8.036,0.441,0.293,0.461,0.515
2010.0,8.048,0.442,0.269,0.469,0.513
2011.0,7.83,0.438,0.282,0.462,0.511
2012.0,7.703,0.431,0.271,0.458,0.501
2013.0,7.43,0.426,0.282,0.454,0.499
2014.0,7.546,0.43,0.29,0.462,0.507
2015.0,7.795,0.427,0.286,0.461,0.506
2016.0,7.911,0.442,0.298,0.478,0.523
2017.0,8.185,0.441,0.301,0.486,0.527
